"j","lambda","FVE"
1,4.83012520805904e-06,-0.000169587934225862
2,4.18086339143647e-06,-0.000316379985216847
3,2.51673086971604e-06,-0.00040474357224881
4,1.28371310594274e-06,-0.000449815334242113
5,5.25155405210099e-07,-0.000468253783864192
6,2.13201845241025e-07,-0.000475739399443523
7,3.64602794124135e-08,-0.000477019536748563
8,6.98287268590186e-09,-0.00047726470864427
9,8.11207218466186e-11,-0.000477267556830404
10,1.99754294077928e-12,-0.000477267626965062
11,1.90556881341435e-12,-0.000477267693870466
12,5.19312098528828e-13,-0.000477267712103754
13,4.65494315357197e-13,-0.000477267728447475
14,4.49407250762825e-14,-0.000477267730025365
15,3.72231260736553e-14,-0.000477267731332286
16,1.69879798982847e-17,-0.000477267731332883
17,8.48726618501679e-18,-0.000477267731333181
18,5.52173847041446e-18,-0.000477267731333375
19,5.01210949559184e-18,-0.000477267731333551
20,4.20814644447508e-18,-0.000477267731333698
21,3.81398461826981e-18,-0.000477267731333832
22,3.16770785936447e-18,-0.000477267731333943
23,2.72141591145877e-18,-0.000477267731334039
24,2.38137951619021e-18,-0.000477267731334123
25,2.11516600683493e-18,-0.000477267731334197
26,7.34533107685326e-19,-0.000477267731334223
27,7.26740309303118e-19,-0.000477267731334248
28,4.99243635753585e-19,-0.000477267731334266
29,4.18328019975525e-19,-0.00047726773133428
30,4.12938141939467e-19,-0.000477267731334295
31,3.72145371136131e-19,-0.000477267731334308
32,3.42292203852609e-19,-0.00047726773133432
33,3.34638326111025e-19,-0.000477267731334332
34,3.0362583577172e-19,-0.000477267731334342
35,2.25228666185186e-19,-0.00047726773133435
36,2.13110485671543e-19,-0.000477267731334358
37,1.91348805327462e-19,-0.000477267731334365
38,1.89293430237581e-19,-0.000477267731334371
39,1.71196805159482e-19,-0.000477267731334377
40,1.33998720610899e-19,-0.000477267731334382
41,1.2775348480443e-19,-0.000477267731334386
42,4.88404165117981e-20,-0.000477267731334388
43,2.15458430067058e-20,-0.000477267731334389
44,-1.63877473592942e-20,-0.000477267731334388
45,-2.42400851740968e-20,-0.000477267731334387
46,-5.80866314332883e-20,-0.000477267731334385
47,-9.1487912079187e-20,-0.000477267731334382
48,-9.42575110373519e-20,-0.000477267731334379
49,-1.02916507553882e-19,-0.000477267731334375
50,-1.33279971838604e-19,-0.000477267731334371
51,-1.53507852177606e-19,-0.000477267731334365
52,-2.71845288109242e-19,-0.000477267731334356
53,-3.35461886491148e-19,-0.000477267731334344
54,-3.40038836424688e-19,-0.000477267731334332
55,-3.43663990439811e-19,-0.00047726773133432
56,-3.52022852677077e-19,-0.000477267731334307
57,-3.6148196565669e-19,-0.000477267731334295
58,-3.95132908594653e-19,-0.000477267731334281
59,-4.09360040674769e-19,-0.000477267731334267
60,-4.26207644087849e-19,-0.000477267731334252
61,-4.31878709875082e-19,-0.000477267731334236
62,-4.65368378906089e-19,-0.00047726773133422
63,-4.77697460733632e-19,-0.000477267731334203
64,-5.25918346603948e-19,-0.000477267731334185
65,-5.29924506373233e-19,-0.000477267731334166
66,-5.37085233190914e-19,-0.000477267731334147
67,-5.72668518344527e-19,-0.000477267731334127
68,-5.85341087478015e-19,-0.000477267731334107
69,-6.13607206062091e-19,-0.000477267731334085
70,-6.44352891161664e-19,-0.000477267731334063
71,-7.13184737738306e-19,-0.000477267731334037
72,-7.15318469424213e-19,-0.000477267731334012
73,-8.43885883502897e-19,-0.000477267731333983
74,-8.59079874857861e-19,-0.000477267731333953
75,-9.31408523110606e-19,-0.00047726773133392
76,-1.51018295481555e-18,-0.000477267731333867
77,-2.40268692428663e-18,-0.000477267731333783
78,-2.47209787697798e-18,-0.000477267731333696
79,-2.71590057828194e-18,-0.0004772677313336
80,-4.09876978248671e-18,-0.000477267731333456
81,-4.55514493167042e-18,-0.000477267731333296
82,-4.66362647025048e-18,-0.000477267731333133
83,-5.58601462870481e-18,-0.000477267731332937
84,-7.43587277935947e-18,-0.000477267731332676
85,-8.61572710575063e-18,-0.000477267731332373
86,-1.47592248051867e-17,-0.000477267731331855
87,-3.50326518617872e-17,-0.000477267731330625
88,-8.15020710601569e-17,-0.000477267731327763
89,-3.70713843211753e-16,-0.000477267731314747
90,-6.43115175757943e-16,-0.000477267731292167
91,-1.70892298943697e-15,-0.000477267731232166
92,-1.83429126970433e-15,-0.000477267731167763
93,-4.30929253154639e-14,-0.000477267729654751
94,-3.27767616379513e-13,-0.000477267718146678
95,-7.43848502124398e-11,-0.000477265106460119
96,-8.96772237258161e-11,-0.000477261957851239
97,-6.36095784153212e-10,-0.000477239624233505
98,-7.60194826221163e-10,-0.000477212933440899
99,-2.60662283799906e-09,-0.000477121413705207
100,-3.48219042503859e-09,-0.000476999152385816
101,-1.14023325669441e-05,-7.66579723770743e-05
102,-0.000108148529927999,0.00372048702698066
103,-0.000445567227581516,0.0193645588531556
104,-0.00102475924559353,0.0553443308162296
105,-0.00206284468506199,0.127771763584384
106,-0.00316076969655651,0.238747852259759
107,-0.00635498239880042,0.461874229036926
108,-0.00703257236094941,0.708791103365027
109,-0.00829407728131367,1
