"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"sector_Communication_Services.csv",0.00245807153180648,-0.0329532975222457,-0.0153166522016228,-0.0543874134945366,0.0516935990649889,-0.00792232110289147,-0.020301645398097,0.104746693431965,0.00202045315320682,-0.0377357083366046
"sector_Consumer_Discretionary.csv",0.0036282395415849,-0.0545127585469255,-0.0255275369510858,-0.0786507566534673,0.0641381358785749,0.00928662258513406,-0.0227369165312267,0.108992708356742,0.00625380417089377,-0.0543277765298615
"sector_Consumer_Staples.csv",0.00633741634333548,-0.0187105124859314,-0.0425361826696646,-0.0530990781769022,0.0633563645507711,-0.00879282156519142,-0.0318167483863021,0.106702043116886,0.0123950861394199,-0.0501233506461884
"sector_Energy.csv",0.0138093669147623,-0.0203951525357917,-0.000363374066983729,-0.0466110881517196,0.0345847984177953,0.00377414965125032,-0.0281092784841584,0.0887676073795251,0.00934117690876554,-0.0283677830937219
"sector_Financials.csv",-0.000761361914089476,-0.0292539174155631,-0.0236044306431638,-0.00825228339453735,0.00398089231664482,0.0256573122209124,0.00465515566855405,0.0945613218548865,0.0139152201106576,-0.0428712772923414
"sector_Healthcare.csv",0.0122683111633617,-0.0482502121125391,-0.0386444703706716,-0.0807522141818575,0.0632706715581703,-0.0171181604163684,-0.0341938266760354,0.114191207443103,0.0259834350300658,-0.0595933835959955
"sector_Industrials.csv",0.0205622821177876,-0.0490002101910186,-0.0372529184454168,-0.000734928745247149,0.00198373502553553,0.0138180480125889,-0.0176568327660632,0.0837951290363424,-0.0191072927905635,-0.0128055702076653
"sector_Real_Estate.csv",0.0127183095056148,-0.0317247567502014,-0.0170252483666596,-0.0474751562224014,0.0665722565293131,-0.00461503136509523,-0.015399178624808,0.0899905702440368,0.00510747623360016,-0.0582812393273115
"sector_Technology.csv",0.0258014243920949,-0.0271172306247076,-0.0190497931206554,-0.0986936136619097,0.0857374817105941,-0.0225971733651425,-0.0159453234530329,0.144109815614774,0.0432491769423488,-0.0467593878377591
"sector_Utilities.csv",0.0123033147486935,-0.0185455591472935,-0.00773275242862592,-0.0869503537857923,0.0913609583143768,-0.015062697762584,-0.031055960203242,0.103598988906138,0.0611518220923778,-0.0505673458225961
