"sector","mean","sd","min","max"
"sector_Communication_Services",0.387936741095496,36.7571128445925,-404.792487827024,261.281451878651
"sector_Consumer_Discretionary",0.509073238865654,40.3101260409928,-455.399866564611,309.723440467275
"sector_Consumer_Staples",0.335828501123584,37.364747270663,-410.806167369169,283.536864535832
"sector_Energy",0.362243087131948,34.9672338084615,-370.064541177968,271.203394522585
"sector_Financials",0.324218257751981,34.620577832426,-386.437445000635,235.400271084255
"sector_Healthcare",0.309534315089961,37.4457016574178,-398.322495181167,294.383483253557
"sector_Industrials",0.249678427106229,33.4778033777578,-393.776793450154,272.895448532162
"sector_Real_Estate",0.416445910781968,36.822585035304,-406.317764182759,295.003222286077
"sector_Technology",0.374320396094555,37.6151072976981,-406.41384583247,287.494704671035
"sector_Utilities",0.384103133213284,37.727592892389,-429.119460004464,302.616794890504
